City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,acarau,-2.8856,-40.12,29.26,71,99,8.29,BR,1707249262
298,summerside,46.3959,-63.7876,-1.29,100,100,8.23,CA,1707249263
299,ponta delgada,37.7333,-25.6667,18.44,94,75,7.72,PT,1707249263
300,portland,45.5234,-122.6762,10.25,91,75,1.34,US,1707248522
301,birjand,32.8663,59.2211,-0.74,24,0,3.09,IR,1707249263
302,muncar,-8.4333,114.3333,23.93,93,96,1.08,ID,1707249263
303,san pedro,14.35,121.0167,25.66,81,20,2.24,PH,1707249264
304,pontevedra,42.431,-8.6444,13.75,95,95,1.88,ES,1707249264
305,ar ruways,24.1103,52.7306,18.21,54,17,6.78,AE,1707249264
306,ganganagar,29.9167,73.8833,9.38,45,11,2.99,IN,1707249264
307,vadso,70.0744,29.7487,-7.91,93,75,6.69,NO,1707249265
308,morant bay,17.8815,-76.4093,28.79,65,50,8.14,JM,1707249265
309,mount gambier,-37.8333,140.7667,11.45,91,34,0.51,AU,1707249265
310,nagqu,31.5,92.0,-11.58,26,5,1.05,CN,1707249265
311,vorgashor,67.5833,63.95,-22.65,97,100,2.17,RU,1707249161
312,fisterra,42.9049,-9.2629,13.75,91,99,8.23,ES,1707249266
313,gadzhiyevo,69.2551,33.3362,-18.51,100,95,4.97,RU,1707249266
314,codrington,-38.2667,141.9667,11.51,89,26,1.49,AU,1707249133
315,warwick,41.7001,-71.4162,4.4,62,40,10.29,US,1707249266
316,minot air force base,48.4209,-101.3391,3.1,90,100,3.6,US,1707249267
317,whitehorse,60.7161,-135.0538,-17.57,85,100,3.09,CA,1707248848
318,arris,35.2588,6.3471,6.53,49,100,2.92,DZ,1707249267
319,puerto baquerizo moreno,-0.9,-89.6,29.55,70,75,6.17,EC,1707249267
320,north bend,43.4065,-124.2243,10.04,93,100,2.06,US,1707249267
321,kerikeri,-35.2268,173.9474,17.17,93,10,0.45,NZ,1707249268
322,zagora,30.3484,-5.8365,13.78,24,100,1.62,MA,1707249268
323,qarauyl,48.9451,79.255,-7.03,73,65,4.41,KZ,1707249268
324,port hedland,-20.3167,118.5667,27.03,83,10,2.57,AU,1707249268
325,san borja,-14.8167,-66.85,32.68,54,59,0.68,BO,1707249268
326,rovaniemi,66.5,25.7167,-20.33,84,100,2.06,FI,1707249269
327,karratha,-20.7377,116.8463,26.9,68,44,0.13,AU,1707249269
328,formosa,-26.1775,-58.1781,36.65,47,75,2.06,AR,1707249269
329,lucapa,-8.4192,20.7447,17.93,98,87,0.61,AO,1707249269
330,lajedo,-8.6636,-36.32,29.45,42,98,6.52,BR,1707249270
331,arquitecto tomas romero pereira,-26.4833,-55.25,33.06,35,100,2.86,PY,1707249270
332,petnjica,42.9092,19.9638,4.03,93,97,2.42,ME,1707249270
333,ola,59.5833,151.2833,-22.33,85,98,4.0,RU,1707249270
334,takoradi,4.8845,-1.7554,26.46,80,77,3.9,GH,1707249270
335,imbituba,-28.24,-48.6703,27.7,90,100,3.44,BR,1707249271
336,birsk,55.4211,55.5428,-0.48,98,100,5.66,RU,1707249271
337,banes,20.9625,-75.7186,26.39,40,16,7.99,CU,1707249271
338,onega,63.9061,38.1404,-26.58,100,71,1.41,RU,1707249271
339,bubaque,11.2833,-15.8333,26.62,75,0,7.08,GW,1707249271
340,taroa,8.7058,171.2275,27.18,74,100,8.79,MH,1707249198
341,kodinsk,58.6881,99.1844,-10.87,96,100,1.62,RU,1707249272
342,greymouth,-42.4667,171.2,15.7,82,72,1.33,NZ,1707249272
343,wauchope,-31.45,152.7333,20.54,97,100,2.42,AU,1707249272
344,mbaiki,3.8678,17.9892,25.13,33,49,0.6,CF,1707249272
345,touros,-5.1989,-35.4608,28.43,72,100,6.22,BR,1707249198
346,inhambane,-23.865,35.3833,25.0,88,20,3.6,MZ,1707249273
347,boa vista,2.8197,-60.6733,35.99,36,75,6.69,BR,1707249066
348,sisimiut,66.9395,-53.6735,-10.24,69,100,8.28,GL,1707249273
349,bodrum,37.0383,27.4292,15.71,83,5,2.81,TR,1707249014
350,tamanrasset,22.785,5.5228,13.95,11,0,2.57,DZ,1707249274
351,hotan,37.0997,79.9269,-3.85,76,8,1.49,CN,1707249274
352,al 'aziziyah,32.9058,45.0616,14.24,53,18,3.63,IQ,1707249274
353,bel ombre,-4.6167,55.4167,27.91,74,20,1.54,SC,1707249274
354,ciudad bolivar,8.1222,-63.5497,39.25,25,46,2.55,VE,1707249275
